_feature,b5723cfe-80fb-49ce-a224-24eb64e4f613,perceived_accuracy-5,understanding-6,accuracy_standard-5,frustration-5,trust-2,recommend-5,fdbk_importance-6,learn-7,perf-5
empty,83927fcd-baae-4f42-bfd2-fd8e3ea9c492,perceived_accuracy-5,understanding-5,accuracy_standard-6,frustration-3,trust-5,recommend-5,fdbk_importance-6,learn-6,perf-6
empty,c539ae01-06b8-473c-a0db-1e06f5634236,perceived_accuracy-5,understanding-3,accuracy_standard-2,frustration-6,trust-2,recommend-2,fdbk_importance-7,learn-3,perf-4
_instance,7067fbdb-61e5-476e-85e0-d6b398e4e094,perceived_accuracy-5,understanding-1,accuracy_standard-6,frustration-2,trust-4,recommend-4,fdbk_importance-6,learn-4,perf-4
_feature,a2757c01-fd7e-40cc-8c22-820cb33566bc,perceived_accuracy-5,understanding-3,accuracy_standard-6,frustration-3,trust-6,recommend-6,fdbk_importance-7,learn-5,perf-5
_feature_explain,b7fb167a-066d-4ceb-8402-56a0a4c1c249,perceived_accuracy-5,understanding-6,accuracy_standard-5,frustration-2,trust-5,recommend-5,fdbk_importance-6,learn-5,perf-6
_instance_explain,73f47bc6-e5c1-4201-8a34-9e9c9dbd597b,perceived_accuracy-6,understanding-6,accuracy_standard-6,frustration-2,trust-6,recommend-6,fdbk_importance-5,learn-4,perf-4
_feature,d1909a71-44cf-4f57-afae-b528f1355fcf,perceived_accuracy-6,understanding-7,accuracy_standard-6,frustration-1,trust-6,recommend-6,fdbk_importance-7,learn-7,perf-7
_instance_explain,6b1f75dc-b360-40c5-9dc2-b13e09feb205,perceived_accuracy-6,understanding-6,accuracy_standard-1,frustration-3,trust-5,recommend-5,fdbk_importance-7,learn-5,perf-6
empty,8ddc912f-d2d9-4fed-b009-96ee927ea65c,perceived_accuracy-5,understanding-3,accuracy_standard-3,frustration-6,trust-2,recommend-2,fdbk_importance-7,learn-6,perf-4
empty,1106a4b0-21f1-4498-8a79-f729f2d33ecd,perceived_accuracy-4,understanding-5,accuracy_standard-3,frustration-5,trust-3,recommend-3,fdbk_importance-7,learn-5,perf-5
_explain,0ab9e322-d81e-4873-b2c4-9584aaf36f93,perceived_accuracy-5,understanding-5,accuracy_standard-2,frustration-6,trust-3,recommend-2,fdbk_importance-7,learn-4,perf-5
_instance_explain,f866ff91-95b8-417d-b836-c60d10db2f5a,perceived_accuracy-6,understanding-5,accuracy_standard-2,frustration-5,trust-3,recommend-3,fdbk_importance-7,learn-4,perf-5
_instance_explain,9ea31c6d-964c-4256-b7fb-dd3f968edc97,perceived_accuracy-5,understanding-6,accuracy_standard-6,frustration-2,trust-5,recommend-6,fdbk_importance-6,learn-5,perf-6
_instance,7edbf4f4-3a77-48c3-a594-21e1f142eff7,perceived_accuracy-6,understanding-7,accuracy_standard-6,frustration-2,trust-6,recommend-7,fdbk_importance-7,learn-4,perf-6
_instance_explain,50e2161c-65d1-4730-8ce6-071833d56c0d,perceived_accuracy-6,understanding-2,accuracy_standard-2,frustration-6,trust-2,recommend-2,fdbk_importance-7,learn-2,perf-4
empty,8285f356-0b94-48d1-a426-c4c643dcf15f,perceived_accuracy-7,understanding-7,accuracy_standard-6,frustration-2,trust-5,recommend-6,fdbk_importance-7,learn-7,perf-7
_instance_explain,80323c9a-afee-4a0d-b890-40bdfb844bee,perceived_accuracy-6,understanding-4,accuracy_standard-7,frustration-1,trust-6,recommend-7,fdbk_importance-7,learn-4,perf-5
_instance_explain,0c0f86d9-9bda-4cec-9dc9-e875469b65cf,perceived_accuracy-5,understanding-6,accuracy_standard-5,frustration-5,trust-5,recommend-6,fdbk_importance-7,learn-5,perf-6
_explain,a1812878-0956-4c51-a59f-5d06a3c2f2d0,perceived_accuracy-5,understanding-5,accuracy_standard-3,frustration-6,trust-2,recommend-2,fdbk_importance-6,learn-4,perf-5
_explain,e23b635f-c63b-4884-8a40-400121fef81a,perceived_accuracy-2,understanding-6,accuracy_standard-5,frustration-7,trust-1,recommend-1,fdbk_importance-7,learn-4,perf-4
